ticker,name
4564.tw,元翎
4566.tw,時碩工業
4569.tw,六方科-KY
4571.tw,鈞興-KY
4572.tw,駐龍
4576.tw,大銀微系統
4581.tw,光隆精密-KY
4583.tw,台灣精銳
4588.tw,玖鼎電力
4720.tw,德淵
4722.tw,國精化
4736.tw,泰博
4737.tw,華廣
4739.tw,康普
4746.tw,台耀
4755.tw,三福化
4763.tw,材料-KY
4764.tw,雙鍵
4766.tw,南寶
4770.tw,上品
4771.tw,望隼
4807.tw,日成-KY
4904.tw,遠傳
4906.tw,正文
4912.tw,聯德控股-KY
4915.tw,致伸
4916.tw,事欣科
4919.tw,新唐
4927.tw,泰鼎-KY
4930.tw,燦星網
4934.tw,太極
4935.tw,茂林-KY
4938.tw,和碩
4942.tw,嘉彰
4943.tw,康控-KY
4949.tw,有成精密
4952.tw,凌通
4956.tw,光鋐
4958.tw,臻鼎-KY
4960.tw,誠美材
4961.tw,天鈺
4967.tw,十銓
4968.tw,立積
4976.tw,佳凌
4977.tw,眾達-KY
4989.tw,榮科
4994.tw,傳奇
4999.tw,鑫禾
5007.tw,三星
5203.tw,訊連
5215.tw,科嘉-KY
5222.tw,全訊
5225.tw,東科-KY
5234.tw,達興材料
5243.tw,乙盛-KY
5244.tw,弘凱
5258.tw,虹堡
5269.tw,祥碩
5283.tw,禾聯碩
5284.tw,jpp-KY
5285.tw,界霖
5288.tw,豐祥-KY
5292.tw,華懋
5306.tw,桂盟
5388.tw,中磊
5434.tw,崇越
5469.tw,瀚宇博
5471.tw,松翰
5484.tw,慧友
5515.tw,建國
5519.tw,隆大
5521.tw,工信
5522.tw,遠雄
5525.tw,順天
5531.tw,鄉林
5533.tw,皇鼎
5534.tw,長虹
5538.tw,東明-KY
5546.tw,永固-KY
5607.tw,遠雄港
5608.tw,四維航
5706.tw,鳳凰
5871.tw,中租-KY
5876.tw,上海商銀
5880.tw,合庫金
5906.tw,台南-KY
5907.tw,大洋-KY
6005.tw,群益證
6024.tw,群益期
6108.tw,競國
6112.tw,邁達特
6115.tw,鎰勝
6116.tw,彩晶
6117.tw,迎廣
6120.tw,達運
6128.tw,上福
6133.tw,金橋
6136.tw,富爾特
6139.tw,亞翔
6141.tw,柏承
6142.tw,友勁
6152.tw,百一
6153.tw,嘉聯益
6155.tw,鈞寶
6164.tw,華興
6165.tw,浪凡
6166.tw,凌華
6168.tw,宏齊
6176.tw,瑞儀
6177.tw,達麗
6183.tw,關貿
6184.tw,大豐電
6189.tw,豐藝
6191.tw,精成科
6192.tw,巨路
6196.tw,帆宣
6197.tw,佳必琪
6201.tw,亞弘電
6202.tw,盛群
6205.tw,詮欣
6206.tw,飛捷
6209.tw,今國光
6213.tw,聯茂
6214.tw,精誠
6215.tw,和椿
6216.tw,居易
6224.tw,聚鼎
6225.tw,天瀚
6226.tw,光鼎
6230.tw,尼得科超眾
6235.tw,華孚
6239.tw,力成
6243.tw,迅杰
6257.tw,矽格
6269.tw,台郡
6271.tw,同欣電
6277.tw,宏正
6278.tw,台表科
6281.tw,全國電
6282.tw,康舒
6283.tw,淳安
6285.tw,啟��
6288.tw,聯嘉
6405.tw,悅城
6409.tw,旭隼
6412.tw,群電
6414.tw,樺漢
6415.tw,矽力*-KY
6416.tw,瑞祺電通
6426.tw,統新
6431.tw,光麗-KY
6438.tw,迅得
6442.tw,光聖
6443.tw,元晶
6446.tw,藥華藥
6449.tw,鈺邦
6451.tw,訊芯-KY
6456.tw,GIS-KY
6464.tw,台數科
6472.tw,保瑞
6477.tw,安集
6491.tw,晶碩
6504.tw,南六
6505.tw,台塑化
6515.tw,穎崴
6525.tw,捷敏-KY
6526.tw,達發
6531.tw,愛普*
6533.tw,晶心科
6541.tw,泰福-KY
6550.tw,北極星藥業-KY
6552.tw,易華電
6558.tw,興能高
6573.tw,虹揚-KY
6579.tw,研揚
6581.tw,鋼聯
6582.tw,申豐
6585.tw,鼎基
6591.tw,動力-KY
6592.tw,和潤企業
6598.tw,ABC-KY
6605.tw,帝寶
6606.tw,建德工業
6625.tw,必應
6641.tw,基士德-KY
6655.tw,科定
6657.tw,華安
6658.tw,聯策
6666.tw,羅麗芬-KY
6668.tw,中揚光
6669.tw,緯穎
6670.tw,復盛應用
6671.tw,三能-KY
6672.tw,騰輝電子-KY
6674.tw,鋐寶科技
6689.tw,伊雲谷
6691.tw,洋基工程
6695.tw,芯鼎
6698.tw,旭暉應材
6706.tw,惠特
6715.tw,嘉基
6719.tw,力智
6742.tw,澤米
6743.tw,安普新
6753.tw,龍德造船
6754.tw,匯僑設計
6756.tw,威鋒電子
6757.tw,台灣虎航
6768.tw,志強-KY
6770.tw,力積電
6776.tw,展�眥篕�
6781.tw,AES-KY
6782.tw,視陽
6789.tw,采鈺
6790.tw,永豐實
6792.tw,詠業
6796.tw,晉弘
6799.tw,來頡
6805.tw,富世達
6806.tw,森崴能源
6807.tw,峰源-KY
6830.tw,汎銓
6834.tw,天二科技
6835.tw,圓裕
6838.tw,台新藥
6861.tw,睿生光電
6862.tw,三集瑞-KY
6863.tw,永道-KY
6869.tw,雲豹能源
6873.tw,泓德能源
6885.tw,全福生技
6887.tw,寶綠特-KY
6890.tw,來億-KY
6901.tw,鑽石投資
6906.tw,現觀科
6914.tw,阜爾運通
6916.tw,華凌
6919.tw,康霈*
6923.tw,中台
6928.tw,攸泰科技
6931.tw,青松健康
6933.tw,AMAX-KY
6937.tw,天虹
6952.tw,大武山
6957.tw,裕慶-KY
6958.tw,日盛台駿
6962.tw,ITH-KY
6965.tw,中傑-KY
6994.tw,富威電力
7705.tw,三商餐飲
7722.tw,LINEPAY
7732.tw,金興精密
7736.tw,虎山
8011.tw,台通
8016.tw,矽創
8021.tw,尖點
